S.No.,Subject,Topic,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Description
7437,Ophthalmology,Glaucoma,Phacomorphic glaucoma is an example of,Primary open angle glaucoma,Secondary open angle glaucoma,Primary angle closure glaucoma,Secondary angle closure glaucoma,,4,Phacomorphic glaucoma causes pupillary block leading to angle closure glaucoma.
7438,Ophthalmology,Glaucoma,Shallow anterior chamber is seen in all except,Old age,Steroid-induced glaucoma,Hypermetropia,Angle closure glaucoma,,2,Steroid induced glaucoma is open. angle glaucoma. AC depth is normal. d 90% of glaucomas are open angle glaucomas. Hence the actual ratio will be 9:1.
7439,Ophthalmology,Glaucoma,Ratio of incidence of open angle to closed angle glaucoma is:,2:01,4:01,1:01,3:01,,4,Steroid induced glaucoma is open. angle glaucoma. AC depth is normal. d 90% of glaucomas are open angle glaucomas. Hence the actual ratio will be 9:1
7440,Ophthalmology,Glaucoma,Gonioscopy is used to study:,Anterior chamber,Posterior chamber,Angle of anterior chamber,Retina,,3,Gonioscopy is a bimicroscopic examination of the angle of the anterior chamber.
7441,Ophthalmology,Glaucoma,Secondary glaucoma following corneal perforation is due to:,Anterior synechiae formation,Peripheral synechiae,Intraocular haemorrhage,Angle disruption,,1,"Corneal perforation is sealed by the iris, leading to anterior synechiae, which can cause angle closure."
7442,Ophthalmology,Glaucoma,100-day glaucoma is seen in:,Central retinal artery occlusion,Central retinal vein occlusion,Neovascular glaucoma,Steroid induced glaucoma,,2,NVG in central retinal vein occlusion is called 100-day glaucoma
7443,Ophthalmology,Glaucoma,The most reliable provocative test for angle closure glaucoma:,Homatropine-mydriatic test,Mydriatic-Miotic test,Water drinking test,Dark room test,,2,"Corneal perforation is sealed by the iris, leading to anterior synechiae, which can cause angle closure."
7444,Ophthalmology,Glaucoma,The technique of goniotomy includes all except:,Anterior chamber air injection,Use of contact lens,Dilatation of the pupil,Diamox preoperatively,Insertion of knife posterior to the descements membrane,3,Gonioscopy is a bimicroscopic examination of the angle of the anterior chamber.
7445,Ophthalmology,Glaucoma,Argon laser trabeculoplasty is used in:,Closed angle glaucoma,Primary open glaucoma,Neovascular glaucoma,Aphakic glaucoma,,2,"Laser trabeculoplasty is opted in open angle glaucoma, if the patient does"
7446,Ophthalmology,Glaucoma,"Pain in the eye, while sitting in cinema is due to:",Prodromal angle closure glaucoma,Intermittent angle closure glaucoma,Acute congestive angle closure glaucoma,Chronic angle closure glaucoma,,2,It indicates the stage of constant instability.
7447,Ophthalmology,Glaucoma,The following antiglaucoma drug decreases the uveoscleral outflow,Latanoprost C. Pilocarpine,Timolol,Pilocarpine,Acetazolamide,,3,decreases the uveoscleral outflow whereas prostaglandin analogues increase the flow.
7448,Ophthalmology,Glaucoma,Photophobia in an infant could be due to:,Buphthalmos,Congenital cataract,NLD obstruction,None of the above,,1,Congenital cataract and NLD obstruction never presents as photophobia.
7449,Ophthalmology,Glaucoma,"Following trabeculectomy, all these changes occur except:",Haemorrhage.,Malignant glaucoma,Shallow anterior chamber,Choroidal degeneration,,4,"horoidal detachment can be a complication of trabecolectomy due to hypotony, but not choroidal degenerations."
7450,Ophthalmology,Glaucoma,Schwalbe's line corresponds to:,Corneal endothelium,Descements membrane,Schlemm's canal,Ciliary body,,2,Schwalbe's line is the anterior most structure seen in gonioscopy.
7451,Ophthalmology,Glaucoma,Normally the cup disc ratio is:,Below 0.5,Below 1.0,Below 1.5,Below 0.1,,1,Normal value of C:D is â‰_0.3. a Betaxolol is
7452,Ophthalmology,Glaucoma,A patient came to the casuality with acute bronchial asthma after treat ment for glaucoma. The probable drug may be,Timolol,Betaxolol,Latoprost,Anticholinisterse,,1,"selective beta blocker and can be given in asthmatics,"
7453,Ophthalmology,Glaucoma,Secondary glaucoma following corneal perforation is due to:,Anterior synechine formation,Peripheral eynechine,Intraocular haemorrhage,Angle disruption,,2,Corneal perforation is sealed by the iris (leucoma adherens) and the anterior synechiae so formed can cause decreased aqueous drainage
7454,Ophthalmology,Glaucoma,Shallow anterior chamber is seen in  all except,Old age,Steroid induced cataract,Hypermetropia,Angle closure glaucoma,,2,Steroid induced glaucoma is open
7455,Ophthalmology,Glaucoma,Laser iridotomy is done in:,Open angle glaucoma,Posterior capsular opacification,Angle closure glaucoma,Acute iridocyclitis,,3,Laser iridotomy helps to treat a pupillary block.
7456,Ophthalmology,Glaucoma,Field defects in open angle glaucoma is best charted with:,Listers perimeter,Goldmann perimeter,Humphrey perimeter,Bjerrum screen,,3,The choice of perimetry is automated perimetry.
7457,Ophthalmology,Glaucoma,Laser iridotomy is done by:,Argon laser,Nd YAG,Xenon,None,,2,Argon is a photocoagulative laser used in the retina. Nd-YAG is a cutting laser.
7458,Ophthalmology,Glaucoma,Angle of anterior chamber is visualized by: lamp examination,Slit,Ophthalmoscope,A scan,CT scan,,1,Patient is examined on the slit lamp through the gonioscope
7459,Ophthalmology,Glaucoma,A 40 years old lady presented with a history of seeing coloured halos in the evening. On examination her intraocular pressure was normal. The diagnosis is,Prodromal stage of acute congestive glaucoma,Acute attack of acute congestive glaucoma,stage of chronic congestive glaucoma,Incipient Cantaract,,4,"Ideally it should be stage of constant instability, which is the second stage of angle closure glaucoma."
7460,Ophthalmology,Glaucoma,Acquired nasolacrimal tion effect therapy of which of the following medications?,Timolol,Brimonidine,Dorzolamide.,Pilocarpine,,1,Recent researches have shown that patients on long term topical timolol for treatment of glaucoma have a much higher incidence of NLD obstruction.
7461,Ophthalmology,Glaucoma,Which the following variable range tonometer?,Mackay-Marg,Draeger's tonometer,Barraquer tonometer,Rebound tonometer,,2,"All the above are applanation tonometers. Draegers is almost similar to Goldmann tonometer  is very reliable for a wide range of IOPa, Mac-Kay Marg and Rebound tonometers are less reliable for extremes of TOP. Barraquer tonometers are used peroperatively in LASIK and Vitra retinal surgeries. Barraquer tonometer is based on the Maklaykov's principle of applanation tonometry where the force applied to the cornea is constant and the amount of the area applanated varies."
7462,Ophthalmology,Glaucoma,Which of following tonometry?,Dynamic contour tonometer,Draeger tonometer,Rebound tonometer,Perkin's tonometer,,3,"The rebound technology is based on the rebound measuring principle, in which a very light-weight probe is used to make a momentary contact with the cornea. In the rebound technology, motion parameters of the probe are recorded during the measurement. Deceleration and the contact time of the probe change as a function of IOP. In simple terms, the higher the IOP, the faster the probe decelerates and the shorter the contact time."
7463,Ophthalmology,Glaucoma,Which diagnostic procedure is not done in a dilated pupil,Gonioscopy,Laser inferometry,Fundus examination,Electroretinography,,1,"It's a bimicroscopic examination of the angle of anterior chamber, hence pupil should be constricted."
7464,Ophthalmology,Glaucoma,Laser trabeculoplasty is done for,Chronic angle closure glaucoma,Neovascular glaucoma,Pseudoexfoliative glaucoma,Uveitic glaucoma,,3,Laser trabeculoplasty is done for open angle glaucoma in patients who are not responding to medical treatment.
7465,Ophthalmology,Glaucoma,A middle aged female presents with history of coloured halos and severe ocular pain that aggravates in dark room and lying in prone position. The examining physician should avoid which of the following drugs in her?,Pilocarpine,Acetazolamide,Homatropine,Timolol malente,,3,The history suggests that the patient is prone to angle closure glaucor a and hence mydriatics should be contraindicated.
7466,Ophthalmology,Glaucoma,Cells affected in glaucomatous optic neuropathy are:,Amaerine cells,Bipolar cells,Ganglion cells,Rods and cones,,3,"Optic nerve fibres are the axons of ganglion cells, and glaucoma is the damage of these nerve fibres."
7467,Ophthalmology,Glaucoma,Which of the following pairs of drugs is correctly matched with its mechanism of action?,Pilocarpine - increased uveoscleral outflow,Latanoprost - carbonic anhydrase inhibitor,Brimonidine - decreased aqueous formation,Betaxolol - increased trabecular outflow,,3,Pilocarpine increases the trabecular outflow. Latanoprost increases the uveoscleral outflow. Betaxolol decreases the aques formation. Brimonidine has a dual action; it decreases formation and increases the uveoscleral outflow.
7468,Ophthalmology,Glaucoma,Which of the following drugs acts on trabecular meshwork and affects the aqueous outflow?,Timolol,Pilocarpine,Brimonidine,Brinzolamide,,2,"Timolol and brinzolamide decrease the aqueous production, whereas brimo nidine increases the uveoscleral outflow."
7469,Ophthalmology,Glaucoma,Express glaucoma implant is made up of:,Silicone,Titanium,Gold,Stainless steel,,4,"The Ex-Press implant - This biocompatible device is almost 3 mm long with an external diameter of approximately 400 microns. It is a non valved, MRI compatible. stainless steel device with a 50 micron lumen. It has an external disc at one end and a spur like extension on the other to prevent extrusion. This implant is not put under the conjunctiva but it is implanted under the scleral flap. This has totally avoided the complication of extrusion and hypotony."
7470,Ophthalmology,Glaucoma,In acute angle closure glaucoma all are seen except:,Cupping of disc,Bayonetting sign,Snow banking,Oval cup,,3,Snow banking is the inflammatory exudate on pars plan and is pathognomic feature of pars planitis.
7471,Ophthalmology,Glaucoma,Which of the following can be used for self tonometry?,Dynamic contour tonometer,Diaton tonometer,Rebound tonometer,Perkin's tonometer,,3,The current gold standard for the measurement of intraocular pressure is the Goldmann applana tion tonometer.Dynamic contour tonometer is also called Pascals tonometer. Its reading is independent of central corneal thickness and is consi dered more accurate than even Goldmann.
7472,Ophthalmology,Glaucoma,Which diagnostic procedure is no done in a dilated pupil?,Gonioscopy,Laser inferometry,Fundus examination,Electroretinography,,1,Gonioscopy is a bimicroscopic exami nation of the angle of anterior chamber.
7473,Ophthalmology,Glaucoma,A young male presents with painless diminution of vision an intraocular pressure of 60 mm Hg. of the likely diagnosis,Acute angle closure glaucoma,Acute anterior uveitis,Chronic papilledema,Glaucomatocyclitic crisis,,4,"Glaucomatocyclitic Crisis: Recurrent glaucomatocyclitic crisis or Pamer Schlossman Syndrome (PSS), is a rare clinical entity associated with acute uniocular elevation of intraocular pressure with minimal evidence of anterior segment inflammation   It is reported to occur in 0.5% of all cases of uveitis. Treatment includes management of increased pressure with antiglau. coma therapy, alongwith manage. ment of uveitis."
7474,Ophthalmology,Glaucoma,Laser trabeculoplasty is done for:,Chronic angle closure glaucoma,Neovascular glaucoma,Pseudoexfoliative glaucoma,Uveitic glaucoma,,3,Laser trabeculoplasty is typically performed with Argon or frequency doubled neodymium: yttrium-alumi nium-garnet (Nd:YAG) laser. It is indicated in open angle glaucoma. The indications can be:  Primary open angle glaucoma. Pigmentary glaucoma (secondary open angle glaucoma). Pseudoexfoliation glaucoma (secondary open angle glaucoma).
7475,Ophthalmology,Glaucoma,Which of the following topical agents cause heterochromia iridis?,Latanoprost,Prednisolone,Olopatadine,Timolol,,1,"Latanoprost causes iris pigmentation in the eye, hence leading to difference of iris colour."
7476,Ophthalmology,Glaucoma,Which of the following drugs acting on dilator pupillae has an action analogous to that of pilocarpine on sphincter pupillae?,Timolol,Phenylephrine,Neostigmine,Tropicamide,,2,Phenylephrine will contract dilator pupillae which is arranged radially similarly to pilocarpine on sphincter pupillae which is circular
7477,Ophthalmology,Glaucoma,Variable range tonometre,Draeger,Mac Kay Marg,Barraquer,Rebound,,1,"All are variable range except barraquer. But most reliable among the options is Draeger, so let's mark that."
7478,Ophthalmology,Glaucoma,Well-known weight of the rabbit for ophthalmic drug testing is,0.5 kg to 1.0 kg,1.5 kg to 3.0 kg,3.5 kg to 4.5 kg,5.0 kg to 6.0 kg,,2,For ophthalmic drug testing the recommended weight is 1.5 to 3.0 kg.
