S.No,System,Question,1,2,3,4,,Ans,Explanation
1048,CVS,Cardiac muscle:,Has a velocity of conduction of action potential at 1 meter per second,Never contract fro more than 0.12 second,It not influenced by nor-epinephrine,Has a longer duration of contraction during tachycardia,,1,
1049,CVS,Conduction velocity in least in:,Atrial pathways,AV node,Bundle of His,Purkinje fibres,,2,
1050,CVS,Delay in heart impulses maximally  occurs at:,SA node,AV node,Bundle of His,left bundle branch,,2,[Normal AV nodal delay time is 0.1 sec.]
1051,CVS,The component of cardiac tissue having the highest propagation velocity us:,Purkinje fibers,AV node,Atrial muscle,Ventricular muscle,,1,
1052,CVS,The rate of conduction  of action potentials in purkinje fibers is about:,0.05 meter/sec,1.0 meter/sec,2.0 meter/sec,4.0 meter/sec,,4,
1053,CVS,The purkinje fibers:,Are myelinated axons,Have a conduction velocity of about four times that seen in heart muscle,Have action potentials about a tenth as long as those are in heart muscle,Are large and thin fibers,,2,
1054,CVS,Ventricular muscles receive impluses directly from the:,Purkinje system,Bundle of His,Right and left bumdle branches,AV node,,1,
1055,CVS,"In man, normal cardiac cyles duration (sec) is:",0.4,0.8,1.2,1.6,,2,
1056,CVS,Duration of cardiac cycle at heart rate of 100 beats per minute is:,0.4 sec,0.6 sec,0.8 sec,1 sec,,2,
1057,CVS,"Which is true , at heart rate of 75 bpm?",Ventricular systole (VS): 0.3 sec  Ventricular diastole (VD): 0.5 sec; Atrial systole (AS): 0.7 sec and Atrial diastole (AD): 0.1 sec.,"VS: 0.5 sec; VD:  0.3 sec; AS: 0.7 sec , AD: 0.1 sec.","VS: 0.3 sec; VD:  0.5 sec; AS: 0.1 sec , AD: 0.7 sec.","VS: 0.5 sec; VD:  0.3 sec; AS: 0.1 sec , AD: 0.7 sec.",,3,
1058,CVS,Atrial systolic propels about‰Û_ %  additional blood into the ventricles:,10,20,30,40,,3,
1059,CVS,The peak pressure of atrial systole is:,7-8 mmHg,8-15 mmHg,15-20 mmHg,20-25 mmHg,,1,
1060,CVS,Isovolumetric venticular contraction is charaterized by:,Production of second heart sound,Contraction of ventricles but there is no emptying,ventricles as a closed chamber and pressure within them  remaining low,Fall in atrial pressure,,2,
1061,CVS,Duration the cardiac cycle the opening of the aortic valve takes place at the:,Beginning of systolic,End of isovolumetric contraction,End of diastole,End of diastasis,,2,At this point semilunar (aortic and pulmonary ) valve open.
1062,CVS,Semilunar valves opens when:,Pressure in great vessels exceeds the pressure in the corresponding ventricles,Pressure in ventricles exceeds the pressure in the corresponding great vessels,Pressure in left atrium is more than the pressure in the left ventricles,Pressure in right atrium is more than the pressure  in the right ventricles,,2,[Note : All the heart valves open and close passive gradient forces.]
1063,CVS,The pulmonary valve opens when right ventricular pressure exceeds:,10-12 mmHg,12-15 mmHg,15-20 mmHg,20-25 mmHg,,1,
1064,CVS,Intraventricular pressure is highest during which phase of cardiac cycle?,Before aortic amd pulmonary valves are open,Protodiastole,ventricular systole proper,Atrial systole,,3,
1065,CVS,The maximally chievable systolic pressure by left ventricle is ‰Û_. mmHg:,120,150,200,300,,4,This is why highest readig in a mercury manometer is 300 mmHg
1066,CVS,Left ventricular systole correspomds to:,Atrial diastole,Atrial systole,ST wave of ECG,P' wave of ECG,,1,[ Ventricles begin to contract only after completion of atrial systole.]
1067,CVS,During the middle of ventricular systole:,The pulmonary valve is open,The QRS complex is occuring,ventricular volume is increasing,Left ventricular pressure is 80 mmHg,,1,
1068,CVS,"In a healthy individual, ‰Û_..% of enddiastolic volume of the stroke volume is:",45,55,65,C,,3,
1069,CVS,Blood ejected into pulmonary and systemic circulation during rapid ejection phase is:,50-55%,65-70%,85-95%,100%,,2,
1070,CVS,Ejection fraction of the ventricle refers to the ratio of:,Amount of blood received amount of blood ejected,Stroke volume/end-diastollic vloume,End -systolic  volume/end-diastolic volume,Stroke volume/end-systolic volume,,2,
1071,CVS,At the end of systole the amount of blood which remains in each ventricle (endsystolic ventricular volume ) is approx:,Zero  ml.,50-60 ml.,80-90 ml.,110-120 ml.,,2,
1072,CVS,The normal end diastolic volume is:,80-100 ml.,100-120 ml.,120-140 ml,140-160 ml,,3,
1073,CVS,Protodiastole phase is ‰Û_.. Sec:,0.02,0.04,0.08,0.1,,2,
1074,CVS,Closure of the semilunar  valves occurs during:,Isovolumetric ventricular contrac tion phase,Rapid ejection phase,Protodiastole,Isovolumetric ventricular relaxation phase,,3,
1075,CVS,Isometric ventricular relaxation phase lasts for‰Û_sec:,0.04,0.08,0.12,0.16,,2,
1076,CVS,During isovolumetric relaxation phase ventricular pressure is approx‰Û_. mmHg,zero,5,10,15,,1,
1077,CVS,isovolumetric ventricular relaxation precedes:,ventricular  ejection,ventricular diastolic proper,Atrial contraction,Atrial relaxation,,2,
1078,CVS,Maximum filling of the ventricular takes place during which of the cardiac cycle?,Protodiastolic,Isovolumetric ventricular relaxation phase,ventricular diastolic proper,Last rapid filling phase due to atrial systole,,3,
1079,CVS,Intra-ventricular pressure is less than atrial pressure in:,Isometric ventricular contraction phase,Isometric ventricular relaxation phase,Maximum ejection phase,Initial rapid filing phase,,4,
1080,CVS,Which of the following marks the end of isovolumetric  relaxation:,C' wave of JVP,closing of semilunar valves,Opening of semilunar valves,opening of A-V valves,,4,
1081,CVS,The Isovolumetric relaxation stops when?,Ventricular volume changes,Intraventricular pressure rises,Ventricular pressure falls below atrial pressure,Beginning of T-wave,,3,This is associated with opening of A-V valves
1082,CVS,During the middle of diastole:,The second heart beat sound is heard,The mitral valve is closed,Atrial pressure is falling,ventricular pressure remains high,,3,
1083,CVS,Just before atrial depolarization and contraction all are seen except:,The heart  is completely polarized,A period of diastasis occurs,The pulmonary valve is closed,Amount of blood in left ventricle is 50 ml.,,4,Amount of blood in LV is 100 ml.
1084,CVS,True statement regarding diastasis is:,It occurs duriing the emptying phase of ventricles,Slow filling of ventricles occur in this period,Third heart sound coincides with this period,A-V valve opens at the beginning of this period,,2,
1085,CVS,Ventricular filling:,Produce mainly 3rd heart sound in some healthy persons,Depends mainly on contraction of atria,Begins during isometric ventricular relaxation,Will not occur unless atrial pressure is higher than atmospheric pressure,,1,
1086,CVS,"Although events on the two sides of the heart are similar during the cardiac cycle, they are somewhat asynchronous in that:",Right atrial systole precedes left atrial systole,Contraction of left ventricle stars after that of the right ventricle,Pulmonary aterial pressure is higher than the aortic pressure,Left ventricular ejection occurs before roght ventricular ejection,,1,
1087,CVS,a' wave of jugular venous pulse is caused by:,Atrial systole,Ventricular systole,Atrial diastole,Ventricular diatole,,1,
1088,CVS,What is not true of 'a' wave of jugular venous pulse record?,Exaggerated in tricuspid stenosis,Abolished in atrial fibrillation,Occur just after carotid artery pulsation,Exaggerated in complete heart block,,3,
1089,CVS,C; wave of the jugular venous pressure record is due to the:,Atrial systole,Bulging of tricuspid valve into the atria during isovolumetric ventricular contraction,Rise in atrial pressure before the tricuspid valve open during diastole,Pulling down of A-V valves with onest of ventricular systole proper,,2,
1090,CVS,Whch of the following JVP wave mirrors the rise in atrial pressure before the tricuspid valve opens during diastole?,a wave,c wave,v wave,None of the above,,3,
1091,CVS,A prominent 'v' wave may suggest:,Atrial flutter,Ventricular septal defect,Tricuspid incompetence,Pulmonary  hypertension,,3,
1092,CVS,First heart sound (HS1):,Makes the onset of ventricular systole,Caused by the closure of semilunar valves,Best heard over aortic and pulmonary area,Characterised by high pitch and sharp sound,,1,
1093,CVS,First heart sound  is because of:,Closure of A-V valves,Closure of semilunar valves,Flow of blood from atria to ventricle,Flow of blood from ventricle to pulmonary artery,,1,
1094,CVS,First heart sound (HS1) is associated with what phenomenon during cardiac cycle?,Closure of pulmonary valves,Closure of aortic valves,Opening of mitral valves,Closure of tricuspid valves,,2,
1095,CVS,First heart sound (HS1) occurs due to closure of AV valves during:,Isotonic ventricular relaxation,Isotonic ventricular contraction,Isovolumetric ventricular contraction,Isovolumetric ventricular relaxation,,3,
1096,CVS,The duration (sec.) and frequency (Hz) of first heart sound (HS1) is:,0.1-0.14; 150-200,0.1-0.17; 30-80,0.2-0.24; 30-80,0.1-0.17; 150-200,,2,
1097,CVS,First heart sound (HS1) is usually clearly heard on ventral surface of chest is?,2nd intercostal space to right of sternum,2nd intercostal space to left to sternum,50th intercostal space to left of sternum,5th intercostal space over sternum,,3,
1098,CVS,First heart sound occurs synchronously with:,Ris e in atrial pressure and rise in ventricular pressure,R wave of ECG,Closure of aortic and pulmonary valves,P wava of ECG,,2,
1099,CVS,The duraion (sec.) and frequency (Hz) of second heart sound (HS2) is:,0.1-0.14; 30-80,0.1-0.2; 150-200,0.1-0.14; 150-200,0.1-0.2; 30-80,,3,
1100,CVS,The second heart sound differs from first heart sound in that:,Is occasionally split,Has higher frequency,Duration greater than first sound,Due partly to turbulence set up by valve closure,,2,
1101,CVS,Splitting in second heart sound is due to:,Atrial systole,Delay in closure of aortic valves,Delay in closure of mitral  valves,Delay in closure pulmonary valves,,4,
1102,CVS,HS2 coincides with which wava of ECG?,P wave,QRS complex,Beginning of T-wave,End of T-wave,,4,
1103,CVS,Which of the following statement about the third heart sound (HS3) is correct?,"Normally, it can be best heard over mitral area",It is produced by tuburlence during rapid ventricular filling in early diastole,It is produced by tuburlence following diastole,It is produced by flow of blood through stenosed mitral valves,,2,[It occur during initial rapind filling phase of the ventricles.]
1104,CVS,The duration of HS3 is?,0. 1 sec,0. 2 sec,0. 3 sec,0. 4 sec,,1,
1105,CVS,HS2 coincides with which wava of ECG?,HS1,HS2,HS3,HS4,,3,
1106,CVS,Forth heart sound is heard in:,Early ventricular diastole,Late ventricular diastoly,Early ventricular systole,Late ventricular systole,,2,
1107,CVS,Which of the following is true about fourth heart sound:,Can be heard by the unaided ear,Frequency is greater than 20 Hz,Heard during  ventricular filling phase,Heard during ventricular ejection phase,,3,
1108,CVS,Heart sound heard immediately before the first heart sound when atrial pressure is high:,First,Second,Third,Fourth,,4,
1109,CVS,Systolic murmurs are common in anaemia because:,tuburlence occur more frequently as viscosity of blood is lower,tuburlence occur more frequently as diameter of vessel wall is increased,Anaemia is more  frequently associated with aortic stenosis,tuburlence occur more frequently as velocity of blood flow increases,,1,
1110,CVS,Volume conductor means:,Spread of excitation wave towards the recording electrode,Conduction of depolarization activity within the myocardium,Body fluids are good conductor of electricity,Record of electrical activity of heart from body surface,,3,
1111,CVS,An ECG gives information about all of the following function except:,Contractility,Conductivity,Electrical activity,Site of pacemaker,,1,[ Contractility is a mechenical property of cardiac muscle.]
1112,CVS,Each mm square in standard ECG paper along X and Y -axis respectively represents:,0.02 sec: 0.1 mV,0.04 sec: 0.1 mV,0.10 sec: 1.0 mV,0.40 sec: 1.0 mV,,2,
1113,CVS,Which of the following is not recorded in ECG ?,Atrial depolarization,Atrial repolarization,Ventricular depolarization,Ventricular repolarization,,2,
1114,CVS,P' wave of ECG occurs at:,Beginning of Ventricular contraction,End of Ventricular contraction,Beginning of atrial  contraction,End of atrial  contraction,,3,
1115,CVS,Invasion of A-V node by excitation process is represented by:,Peak of P wave,Q wave,R wave,S wave,,1,
1116,CVS,Ventricular depolarization in ECG is seen as:,P-wave,QRS complex,T-wave,ST segment,,2,
1117,CVS,The Q wave is due to:,Atrial depolarization,Depolarization  of interventricular septum,Depolarization  of major portion of both the ventricles,Depolarization  of base of ventricles,,2,
1118,CVS,QRS complex indicates:,Atrial depolarization,Ventricular  depolarization,Atrial repolarization,Ventricular  repolarization,,2,
1119,CVS,Which of the following is incorrect?,Normal P-R interval is about 0.16 sec,P wave is a recording of atrial depolarization,QRS complex reflects end of atrial depolarization,U wave is due to slow repolarization of papillary muscles,,3,
1120,CVS,Normal QRS complex is approx:,0.02 sec,0.04-0.06 sec,0.08-0.12 sec,0.01-0.15 sec,,3,
1121,CVS,ST segment:,Extends from end of 'S' wave to end of 'T' wave,Extends from end of 'S' wave to the beginning of 'T' wave,Represents Ventricular  depolarization,Normal duration is 0.32 sec,,2,[ Its duration is 0.04-0.08 sec.]
